name,pick,season,ftm,fta,3fgm,3fga,rim_made,rim_miss,mid_made,mid_miss,dunks_made,dunks_miss,oreb,dreb,ast,stl,blks,pts,gp,height,rec_rank,mpg,age,tov,sos,team_strength,international,NCAA_possessions_est,NBA_minutes,NBA_seasons,NBA_impact,standard_error
Tristen Newton,49,2024,168,208,71,221,79,53,29,53,3,1,57,206,248,37,12,603,40,77,0,33.2,22.8,98,5.7,20.4,0,2184,29,2,-1.4,3.2
Emoni Bates,49,2023,115,147,76,230,47,43,60,86,10,1,20,153,42,22,16,577,30,82,99.2,33.5,19,76,-0.5,-7.6,0,1763,198,2,-1.5,3
Tyrese Proctor,49,2025,51,75,89,220,36,37,32,32,8,0,18,97,85,30,4,470,38,78,94.8,29.9,20.8,40,7.5,23.6,1,1886,542,1,0,2.7
Lavoy Allen,50,2011,69,99,5,17,78,28,56,126,15,1,88,195,75,23,61,382,33,81,78.8,33.9,22,54,3,10.3,0,1822,7117,6,-2.2,1.4
Solomon Alabi,50,2010,108,136,0,0,45,28,50,85,38,3,79,119,16,20,75,374,32,85,95.4,25.6,21.3,61,6.3,12.5,0,1384,183,2,-1.8,3
James Ennis,50,2013,110,129,53,148,59,27,28,55,27,2,56,144,66,54,40,497,31,79,0,33.5,22.6,89,1.7,-0.4,0,1748,8497,8,-2.3,1.2
Georges Niang,50,2016,96,119,56,143,125,40,98,108,4,0,46,172,117,31,22,718,35,80,86,33.2,22.6,92,7.1,11.5,0,2074,10287,9,-2.2,1.2
Jarrell Brantley,50,2019,122,156,35,113,107,55,61,85,23,2,55,213,78,45,28,621,32,79,0,33.9,22.6,83,-1.4,3.3,0,1801,295,3,-2.2,2.9
Alize Johnson,50,2018,110,145,40,143,55,35,64,84,9,2,101,272,91,15,14,480,32,81,0,31.2,21.7,72,0.9,3.1,0,1661,583,5,-1,2.6
Skylar Mays,50,2020,129,151,50,127,84,69,24,26,11,3,15,140,100,54,7,517,31,76,73.2,34.5,22.4,70,5.1,9.8,0,1888,1140,4,-2.4,2.3
Keyontae Johnson,50,2023,108,151,47,116,92,53,67,94,30,5,54,191,77,37,7,627,36,78,86.4,34.1,22.7,106,6.4,10.6,0,2163,66,1,-1.5,3.1
Enrique Freeman,50,2024,164,225,19,52,125,82,34,42,44,0,117,305,52,26,56,615,33,79,0,32.4,23.5,84,-0.7,4.2,0,1806,213,2,-1.8,3
Kobe Sanders,50,2025,136,171,41,120,48,39,77,84,7,1,22,106,147,37,9,523,33,81,0,31.7,22.6,61,2.7,5,0,1700,1325,1,-0.8,2.4
Kris Joseph,51,2012,117,157,51,148,54,30,34,96,25,3,56,118,56,50,23,496,37,79,88.6,32.2,23.1,55,6.9,16.7,0,1929,55,1,-1.4,3.1
Ben Bentil,51,2016,194,248,52,158,95,63,71,116,29,5,94,174,40,30,36,738,35,81,81.2,34.2,20.8,67,6.1,7.2,0,2087,11,1,-0.4,3.2
Monte Morris,51,2017,89,111,54,143,78,48,82,112,2,0,40,129,217,53,10,575,35,75,83.6,35.3,21.6,42,8.3,13.6,0,2168,10937,9,-0.2,1.2
Tremont Waters,51,2019,104,128,56,171,72,56,40,57,4,1,10,82,192,94,4,504,33,71,91.4,32.4,21,114,6.4,11.3,0,1885,415,3,-1.2,2.8
Tyrese Martin,51,2022,62,90,43,100,63,54,30,64,8,2,68,150,56,23,14,393,29,78,56.2,32.1,22.9,53,5.5,11.6,0,1547,2169,3,-3.4,2.1
Jalen Wilson,51,2023,159,199,70,208,102,77,74,112,0,1,56,241,79,34,17,723,36,80,89.4,35.4,22.2,84,8.4,12.9,0,2228,3578,3,-1.8,1.8
Brandon Boston Jr.,51,2021,51,65,30,100,34,42,30,74,9,1,33,79,41,33,4,287,25,79,99.4,30.7,19.2,36,7.1,6.3,0,1344,2368,4,-3.5,1.9
Vernon Macklin,52,2011,46,102,0,0,96,37,63,91,32,3,82,117,30,13,26,428,37,82,95,24.5,24.3,63,6.5,12.9,0,1445,138,1,-1.8,3
Luke Harangody,52,2010,140,178,25,81,103,56,106,149,10,2,67,206,47,14,20,653,30,80,82.4,33,22.2,54,3.7,9.3,0,1621,880,2,-1.7,2.5
Lorenzo Brown,52,2013,108,140,20,76,69,52,39,86,12,0,22,121,239,65,19,408,33,77,94.4,34.2,22.4,114,4.6,10,0,1939,1203,5,-2.9,2.3
Joel Bolomboy,52,2016,148,215,18,53,47,28,47,67,61,9,98,280,34,19,34,512,30,81,0,32.8,22,76,-2.6,2.7,0,1677,95,2,-1,3.1
Edmond Sumner,52,2017,100,136,12,44,50,39,17,33,14,1,11,80,105,27,16,314,21,78,79,33.1,21,58,6.2,9.4,0,1223,2331,5,-2.1,1.9
Vincent Edwards,52,2018,100,120,51,128,79,45,40,75,10,1,71,188,101,18,21,511,35,80,76,31.6,21.8,71,6.1,17.3,0,1869,16,1,-0.5,3.2
Jalen McDaniels,52,2019,92,125,22,72,44,27,120,156,21,2,65,208,70,37,16,525,33,82,76.2,31.1,21,80,1.5,3.6,0,1771,4641,6,-1.6,1.6
Luka Garza,52,2021,141,199,44,100,164,80,61,91,12,0,93,178,54,21,50,747,31,83,76.6,31.6,22.1,47,6.3,12.9,0,1731,2135,5,1.2,2
Toumani Camara,52,2023,89,133,29,80,78,45,33,52,38,0,79,215,59,42,27,474,34,80,79.4,30,22.7,71,0.4,7.6,1,1620,6863,3,0.9,1.6
Quinten Post,52,2024,101,123,50,116,106,66,49,77,17,1,72,213,100,30,61,595,35,84,0,31.9,23.8,86,4.3,5.7,1,1890,1953,2,-0.7,2.1
DeAndre Liggins,53,2011,68,105,36,92,36,29,34,65,6,2,22,131,96,46,28,328,38,78,93.4,31.6,22.8,55,6.7,16.3,0,1985,1986,5,-4,2
Devon Hall,53,2018,76,85,57,132,46,39,26,45,3,0,12,131,107,29,5,397,34,77,75.8,32.1,22.5,35,6.9,18.8,0,1645,78,1,-1.3,3.1
Kadeem Allen,53,2017,86,116,32,75,41,40,30,46,4,0,12,125,101,53,21,332,34,75,0,30,24,65,5.9,13.4,0,1706,643,3,-1,2.6
Justin Wright-Foreman,53,2019,176,204,108,254,90,47,111,117,16,1,12,125,99,29,7,921,34,74,0,37.7,21.2,88,-2.5,5.5,0,2202,46,1,-1.2,3.1
Cassius Winston,53,2020,115,135,73,169,55,51,57,81,0,0,6,69,175,36,1,558,30,73,94,32.6,21.9,96,7.2,14.9,0,1691,144,2,-2.5,3
Charles Bassey,53,2021,88,116,18,59,68,35,38,54,70,5,92,233,19,11,87,494,28,83,99,30.4,20.3,62,1.8,4.1,1,1463,1432,5,-2.1,2.2
John Tonje,53,2025,231,254,85,219,68,49,34,49,17,3,29,166,67,27,8,724,37,77,0,31.1,23.8,68,7.7,13.7,0,1975,42,1,-1.3,3.2
Cam Spencer,53,2024,82,90,99,225,37,23,60,60,0,0,42,152,145,59,10,573,40,76,0,32.8,23.8,40,5.4,20.4,0,2161,1929,2,0.5,2.1
Jaylen Clark,53,2023,67,96,26,79,73,43,32,63,17,2,58,123,56,78,8,389,30,77,77.8,30.5,21.2,37,5.1,16.8,0,1533,1426,2,0.3,2.3
Willie Warren,54,2010,101,127,30,97,48,34,27,34,1,1,14,55,86,21,1,343,21,76,98,31.9,20.2,80,4.9,4.2,0,1144,136,1,0.2,3
Alec Peters,54,2017,167,188,55,149,72,38,70,101,7,2,71,211,62,22,11,643,28,81,50,35.1,21.7,69,-0.8,3.9,0,1724,226,1,-0.3,2.9
Kahlil Felder,54,2016,239,282,76,214,104,78,81,128,8,0,26,123,324,69,7,853,35,69,0,36.7,20.8,120,-0.5,6,0,2398,537,2,-2.7,2.7
Marial Shayok,54,2019,108,123,71,185,87,35,61,85,10,0,47,120,67,32,8,637,34,78,67,32.9,23.5,91,6.6,12.9,0,1904,28,1,-1.4,3.1
Shake Milton,54,2018,94,111,56,129,30,32,36,45,1,1,14,89,96,31,14,396,22,78,82.2,36.4,21.2,50,1.5,6.2,0,1297,7111,7,-2.8,1.4
Sandro Mamukelashvili,54,2021,95,133,42,125,78,73,26,57,22,6,50,154,87,29,15,473,27,83,60.4,35.6,21.7,89,4.6,5.9,1,1626,3936,5,-0.1,1.7
Jalen Slawson,54,2023,127,164,37,96,61,40,29,44,43,2,59,175,105,50,50,514,33,79,0,30.6,23.2,85,-0.9,5.2,0,1762,380,2,-0.9,2.9
Anton Watson,54,2024,80,122,20,49,94,39,50,77,30,0,75,168,87,51,22,493,34,80,90.6,31.4,23.3,46,3.6,13.3,0,1865,26,1,-1.4,3.1
Cassius Stanley,54,2020,77,105,31,86,46,54,19,32,32,1,54,87,30,20,21,364,29,78,92.8,27.4,20.4,54,5,16.1,0,1452,253,2,-1.1,2.9
E'Twaun Moore,55,2011,100,141,70,175,40,33,107,135,4,0,51,124,108,41,18,612,34,76,95,33.9,21.9,61,7.1,15.8,0,1882,12819,10,-3.3,1.1
Jeremy Evans,55,2010,64,93,3,12,52,23,21,39,61,3,101,134,25,28,61,341,34,81,0,26.5,22.3,36,-0.7,3.3,0,1475,2624,7,-1.6,1.9
Darius Johnson-Odom,55,2012,126,165,77,200,66,46,57,86,10,5,22,97,93,32,4,623,34,74,0,32.9,22.3,80,6.7,13,0,1980,23,2,-1.5,3.1
Marcus Paige,55,2016,72,93,74,208,37,29,27,49,3,0,15,71,128,39,15,428,34,74,94.2,31.6,22.4,42,8,16.5,0,1873,28,1,-1,3.1
Semaj Christon,55,2014,157,235,19,49,108,86,63,103,11,0,15,76,142,45,8,578,34,75,94,35.3,21.2,89,5.2,7.5,0,1978,956,1,-3.8,2.4
Nigel Williams-Goss,55,2017,157,181,43,117,79,44,93,115,5,0,22,205,179,64,3,640,38,75,93.4,32.7,22.4,82,3.5,20.9,0,2194,53,1,-1.7,3.1
Kyle Guy,55,2019,70,84,120,282,40,21,36,60,2,0,27,144,78,26,2,586,38,74,92.8,35.4,21.5,53,7.4,21.2,0,2030,430,3,-2.6,2.7
Aaron Wiggins,55,2021,56,73,53,153,49,33,42,65,15,2,34,141,76,34,16,434,30,78,91.8,33.1,22.1,59,6.6,7.1,0,1629,7305,5,0,1.4
Isaiah Wong,55,2023,153,181,61,159,52,46,67,95,12,0,39,121,118,50,14,598,37,76,84.2,33.4,22,77,4.5,9.7,0,2130,256,2,-1.6,2.9
Bronny James,55,2024,23,34,16,60,12,10,9,16,4,1,7,64,53,19,5,121,25,76,95.8,19.4,19.3,27,5.9,4.4,0,842,553,2,-1.5,2.7
Peyton Siva,56,2013,85,98,38,132,68,49,26,60,7,1,12,82,228,90,6,401,40,72,93.4,31.2,22.3,106,7.4,21.5,0,2068,218,1,-2.2,2.9
Hamady Ndiaye,56,2010,72,117,0,0,29,29,18,45,66,7,73,144,13,13,139,298,31,84,86.4,28.2,22.3,44,5.5,-0.1,0,1490,159,3,-2.6,3
Roy Devyn Marble,56,2014,142,199,52,149,67,40,57,116,7,0,26,80,118,60,7,560,33,78,48.8,30.2,21.3,57,6.6,13.7,0,1735,458,2,-1.2,2.7
Branden Dawson,56,2015,51,104,0,0,79,38,59,117,44,3,102,216,59,42,58,415,35,78,97,30.1,22,67,8.5,13.7,0,1650,28,1,-1,3.1
Jabari Bird,56,2017,42,55,65,178,29,20,28,42,18,2,26,101,28,18,6,387,27,78,96,32,22.6,50,4.7,7.5,0,1408,117,1,-0.5,3
Daniel Hamilton,56,2016,86,100,47,142,40,31,67,127,5,0,33,288,170,38,15,451,36,79,96.8,32,20.5,85,5,12.3,0,1913,228,2,-1.2,2.9
Grant Riller,56,2020,168,205,47,129,98,44,65,97,10,1,15,138,118,47,10,656,30,75,6,33.5,22.9,94,-0.5,0.3,0,1678,32,1,-1.4,3.1
Ray Spalding,56,2018,73,114,5,19,79,54,55,79,44,6,113,199,46,54,62,444,36,82,91.8,27.6,20.9,61,7,9.3,0,1719,164,2,-1.1,3
Scottie Lewis,56,2021,37,55,14,44,23,12,14,29,6,0,17,48,31,33,22,165,21,77,98.8,25.6,20.9,39,5.7,8.5,0,950,8,1,-0.1,3.2
Will Richard,56,2025,81,96,80,223,66,31,17,20,22,1,45,138,74,66,13,531,40,76,36.2,31.6,22.1,62,9,20.3,0,2232,1347,1,-0.1,2.3
Kevin McCullar Jr.,56,2024,115,142,38,112,76,52,28,58,9,1,19,131,103,38,10,459,25,79,0.2,34.2,22.8,64,7.1,10.3,0,1490,187,2,-2.3,3
Ryan Reid,57,2010,46,77,0,0,40,26,37,59,5,0,58,65,35,18,16,210,31,80,82,22.7,22.3,51,7.5,12.5,0,1177,16,1,-1.1,3.2
Kevin Hervey,57,2018,113,140,77,227,85,51,59,93,18,2,77,205,73,41,20,676,33,79,0,32.2,21.5,90,0,3.2,0,1957,48,1,-1.9,3.1
Jordan Bone,57,2019,74,89,50,139,49,41,75,80,4,0,18,96,209,25,4,485,36,75,66,33,21.2,71,6.7,15.2,0,2058,248,2,-2.4,2.9
Reggie Perry,57,2020,149,194,23,71,76,48,48,87,36,0,97,215,71,26,36,538,31,82,94,31.1,19.8,90,4.6,8.3,0,1622,422,2,-1.2,2.8
Trayce Jackson-Davis,57,2023,146,210,0,0,139,103,49,79,74,6,91,255,129,27,92,670,32,81,94.2,34.6,22.9,82,7.6,10.3,0,1870,2692,3,-2.4,1.9
Jabari Walker,57,2022,127,162,36,104,75,76,23,42,26,1,68,242,41,24,22,483,33,81,69,28.1,19.5,76,3.9,5.3,0,1587,3813,4,-1,1.7
Max Shulga,57,2025,140,179,72,186,49,38,27,45,3,0,59,140,135,60,4,511,34,77,0,32.8,22.6,57,1.2,12.6,1,1884,37,1,-1.1,3.2
Derrick Caracter,58,2010,80,119,4,15,74,38,59,64,11,0,72,146,30,26,23,380,27,81,95.4,26.7,22.3,77,3.8,11.2,0,1249,219,1,-2.2,2.9
Robbie Hummel,58,2012,113,137,72,188,17,10,105,145,0,0,55,196,66,23,42,573,35,80,88.4,32.2,22.9,32,6.8,10.8,0,1817,1376,2,-1.8,2.3
Jordan McRae,58,2014,164,208,77,220,73,34,50,105,16,4,26,101,89,25,37,673,36,78,92,32.4,22.8,76,6,13.4,0,1828,1711,4,-2.4,2.1
Abdel Nader,58,2016,78,106,52,140,50,33,33,54,26,1,26,148,54,37,24,452,35,78,51.6,31.1,22.3,79,7.4,11.5,0,1940,2666,5,-5.2,1.8
Thomas Welsh,58,2018,48,58,45,112,30,21,77,84,10,0,87,271,46,22,29,417,33,84,92.6,33.2,22,34,4.4,7.1,0,1951,33,1,-0.6,3.1
Miye Oni,58,2019,103,130,55,150,55,53,30,58,22,2,18,157,99,25,36,480,28,78,0,30.9,21.5,72,0.7,5.6,0,1587,724,3,-1,2.6
Paul Reed,58,2020,59,78,15,51,82,56,51,75,32,2,92,208,45,52,71,424,28,81,46,31.7,20.6,63,4.7,3.2,0,1616,4499,6,2,1.6
Jericho Sims,58,2021,52,100,0,1,27,19,8,20,59,3,56,132,17,19,28,240,26,82,89.6,24.5,22.3,42,6.3,10,0,1096,3924,5,-3.5,1.7
Chris Livingston,58,2023,39,54,18,59,36,26,14,38,11,0,38,104,24,15,12,215,34,78,97.8,22.4,19.3,31,6.2,10.1,0,1267,237,3,-0.7,2.9
George King,59,2018,68,87,62,157,43,45,32,37,5,0,56,194,35,17,21,414,32,78,0,28.5,24,64,4.3,2.3,0,1578,25,2,-1.8,3.1
Jaron Blossomgame,59,2017,120,168,24,94,93,48,62,100,41,3,59,148,51,27,30,584,33,79,76.8,34.3,23.3,55,6.8,8.3,0,1918,443,1,-2.3,2.7
Jalen Harris,59,2020,135,164,67,185,67,53,67,102,22,4,22,170,118,34,4,648,30,77,0,33,21.4,72,1.9,4.6,0,1771,176,1,-0.3,3
Raiquan Gray,59,2021,71,93,8,30,54,33,35,46,12,1,37,123,55,30,18,297,25,80,68.4,26.3,21.6,55,4.9,10.1,0,1146,72,2,-0.7,3.1
Jahmai Mashack,59,2025,60,83,20,57,39,25,15,27,0,0,52,109,57,64,20,228,38,76,88,28.2,22.2,35,8.8,18.1,0,1738,665,1,-1,2.7
Robert Sacre,60,2012,150,197,0,2,31,25,64,83,22,2,67,141,24,12,47,384,33,84,65.2,26.3,22.6,60,3.2,11.7,0,1437,2747,4,-3.8,1.9
Isaiah Thomas,60,2011,151,210,60,172,84,39,43,81,1,2,26,97,213,47,2,587,35,69,57.6,31.9,22,104,5.3,13.6,0,1996,16417,12,-0.1,1
Cory Jefferson,60,2014,128,198,14,37,33,26,59,117,67,12,100,193,36,13,46,488,36,81,86.8,29.3,23.1,50,7.2,10.6,0,1677,584,2,-0.9,2.7
Tyrone Wallace,60,2016,100,154,25,84,64,39,56,93,6,1,27,121,123,27,12,427,28,77,81.8,32.2,21.6,74,4.7,10.4,0,1538,1736,4,-2.4,2.1
Sam Merrill,60,2020,150,168,89,217,68,48,38,51,0,1,6,125,124,28,4,629,32,77,14.4,34.9,22.2,50,2.2,10.5,0,1897,4455,6,1.2,1.6
Kostas Antetokounmpo,60,2018,33,64,2,15,19,18,10,13,27,0,24,59,13,7,31,151,29,82,79.8,15.1,20.1,39,2,-0.2,1,733,87,3,-0.4,3.1
Ryan Conwell,,2026,124,149,112,325,72,50,17,29,0,0,21,141,91,38,6,638,34,75,,30.9,21.6,73,7.6,14.7,0,1857,,,,
Braden Smith,,2026,99,120,64,177,49,32,84,106,0,0,25,113,345,66,8,557,39,72,61.2,34.5,22.5,113,9,16.7,0,2185,,,,
Richie Saunders,,2026,89,109,64,170,62,28,17,20,6,2,47,97,52,43,7,451,25,77,,31.3,24.3,41,6.6,13,0,1393,,,,
Alex Karaban,,2026,74,87,77,206,82,55,18,33,11,0,72,139,94,33,33,527,40,80,81.2,34.2,23.2,43,7.8,16.8,0,2247,,,,
Henri Veesaar,,2026,72,117,40,94,64,33,46,40,58,7,68,202,64,18,37,528,31,84,85.2,31.4,21.8,52,7,12,1,1678,,,,
Zuby Ejiofor,,2026,186,259,18,59,104,72,43,59,35,1,123,148,131,43,79,604,37,81,89.4,30,21.8,78,7.2,15,0,1953,,,,
Joshua Jefferson,,2026,149,213,38,110,92,69,48,76,16,1,66,194,167,57,29,575,35,81,,30.9,22.2,89,5.9,18.7,0,1841,,,,
Dailyn Swain,,2026,161,198,32,92,110,74,39,43,25,1,59,204,125,57,11,606,35,80,82.4,32.8,20.5,93,7.4,10.2,0,1959,,,,
Aday Mara,,2026,79,140,3,10,78,30,39,56,81,7,76,194,97,14,103,484,40,87,97.2,23.4,20.8,79,9.7,22.6,1,1665,,,,
Cameron Carr,,2026,132,164,77,205,39,32,48,53,44,7,21,170,87,29,44,623,33,77,88.8,33.7,21.2,78,7.3,8.2,0,1925,,,,
Yaxel Lendeborg,,2026,136,165,67,180,84,41,20,33,29,1,75,196,129,45,49,603,40,81,,30.1,23.3,42,10,22.6,0,2133,,,,
Pryce Sandfort,,2026,71,83,129,310,65,24,20,30,3,1,22,148,70,36,9,634,35,79,83,33.6,21.6,24,6.8,14.7,0,1954,,,,
Motiejus Krivas,,2026,131,168,4,13,48,43,57,49,27,2,120,198,43,28,73,407,39,86,73.2,25.4,21.2,53,9.1,21.2,1,1755,,,,
Isaiah Evans,,2026,98,114,101,280,40,26,23,37,22,2,15,107,48,27,25,571,38,78,97.2,28.2,20.1,43,8.2,22.6,0,1785,,,,
Labaron Philon,,2026,158,198,81,203,108,59,49,61,5,0,19,98,165,38,6,725,33,76,93.2,30.9,20.2,84,9.9,14.4,0,1887,,,,
Jayden Quaintance,,2026,4,13,0,0,5,3,1,2,2,1,8,12,2,2,3,20,4,83,98.6,16.8,18.5,6,10.4,11.9,0,116,,,,
Morez Johnson Jr.,,2026,122,156,12,35,114,58,19,34,50,3,100,193,48,27,44,524,40,81,94.2,25.1,20,53,10,22.6,0,1787,,,,
Christian Anderson,,2026,95,118,108,260,47,19,41,55,8,2,20,98,244,48,8,611,33,75,76.6,38.4,19.8,109,8.8,13.3,0,2147,,,,
Bennett Stirtz,,2026,140,165,92,257,87,40,61,69,11,1,10,88,163,51,9,734,37,76,,37.7,22.3,68,6.8,12.8,0,2186,,,,
Allen Graves,,2026,84,112,37,91,55,42,29,36,21,2,95,126,61,65,32,400,34,81,,22.6,20.3,24,4.1,10.6,0,1341,,,,
Koa Peat,,2026,101,162,7,20,87,59,53,105,53,2,77,126,93,23,25,508,36,80,98.6,27.8,19,58,8,21.2,0,1801,,,,
Brayden Burries,,2026,136,169,70,179,74,48,49,60,17,1,21,170,95,59,8,626,39,76,98.2,29.8,20.4,57,8.3,21.2,0,2073,,,,
Caleb Wilson,,2026,129,181,7,27,48,34,48,60,67,10,68,158,64,36,33,476,24,82,99.2,31.3,19.5,47,5.7,12,0,1299,,,,
Chris Cenac Jr,,2026,36,58,30,90,20,15,58,76,35,1,83,208,27,28,18,352,37,83,99,24.8,19,33,7.9,19.5,0,1486,,,,
Kingston Flemings,,2026,109,129,41,106,84,69,86,108,11,2,19,131,192,56,12,594,37,76,96.8,31.7,19.1,66,7.8,19.5,0,1898,,,,
Meleek Thomas,,2026,91,108,82,197,66,46,52,101,3,2,33,109,92,57,7,579,37,77,98,30.5,19.5,37,8.1,13.7,0,2051,,,,
Darryn Peterson,,2026,109,132,63,165,31,24,53,71,9,3,17,84,38,34,15,484,24,77,99.8,29,19.1,38,9.8,13.3,0,1196,,,,
AJ Dybantsa,,2026,229,296,49,148,90,46,126,146,43,5,51,188,130,37,12,894,35,81,100,34.8,19,108,7.9,13,0,2136,,,,
Ebuka Okorie,,2026,188,226,63,178,127,105,36,49,8,0,23,90,111,49,10,719,31,74,57.6,35.1,19.3,58,5.5,5.7,0,1841,,,,
Keaton Wagler,,2026,172,216,87,219,84,61,31,58,0,1,71,117,157,34,14,663,37,78,52.6,33.9,19.3,66,8.2,18.8,0,2051,,,,
Nate Ament,,2026,196,248,46,138,46,53,66,111,13,2,61,161,82,34,22,584,35,82,99.4,29.7,19.1,79,8.5,14.7,0,1747,,,,
Mikel Brown Jr.,,2026,103,122,55,160,37,23,10,31,10,2,1,69,99,26,3,382,21,77,98.8,29.2,19.8,65,5.7,14.7,0,1111,,,,
Cameron Boozer,,2026,221,280,54,138,173,116,22,30,41,2,128,261,157,53,23,855,38,81,99.6,33.5,18.5,96,8.3,22.6,0,2115,,,,
Hannes Steinbach,,2026,120,158,18,53,115,59,47,58,29,1,126,227,47,32,37,556,30,83,99,34.7,19.7,59,6.2,7.8,1,1752,,,,
Darius Acuff Jr.,,2026,178,220,91,207,119,82,71,106,7,3,17,94,232,30,11,845,36,75,98.4,35.1,19.3,78,8.7,13.7,0,2303,,,,